date_crawl,job_type,company_name,salary,location,time_remain,url
2025-05-14,Back-end Developer,CÔNG TY TNHH XT SOLUTION,Thương lượng,Quận Bình Thạnh:  Hồ Chí Minh,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/back-end-developer-cong-ty-tnhh-xt-solution-2036147?src=topdev_search&medium=searchresult
2025-05-14,Project Manager,CÔNG TY TNHH XT SOLUTION,Thương lượng,Quận Bình Thạnh:  Hồ Chí Minh,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/project-manager-cong-ty-tnhh-xt-solution-2036151?src=topdev_search&medium=searchresult
2025-05-14,Cloud System Engineer (GCP),LG CNS Việt Nam,Thương lượng,Quận Nam Từ Liêm:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/cloud-system-engineer-gcp-lg-cns-viet-nam-2036182?src=topdev_search&medium=searchresult
2025-05-14,02 Fresher SQA / Tester Engineer,Total Software Bank VietNam (TSB VN),7.000.000 VND to 10.000.000 VND,Quận 1:  Hồ Chí Minh,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/02-fresher-sqa-tester-engineer-total-software-bank-vietnam-tsb-vn-2036187?src=topdev_search&medium=searchresult
2025-05-14,Mid-level Fullstack Developer (Python & ReactJS),NETPOWER AS,Thương lượng,Quận Tân Bình:  Hồ Chí Minh,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/mid-level-fullstack-developer-python-reactjs-netpower-as-2036189?src=topdev_search&medium=searchresult
2025-05-14,[Da Nang] Bridge System Engineer (Japanese Speaking) - Kỹ Sư Cầu Nối (Tiếng Nhật),CHI NHÁNH CÔNG TY TNHH PASONA VIỆT NAM TẠI ĐÀ NẴNG,Thương lượng,Quận Cẩm Lệ:  Đà Nẵng,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/da-nang-bridge-system-engineer-japanese-speaking-ky-su-cau-noi-tieng-nhat-chi-nhanh-cong-ty-tnhh-pasona-viet-nam-tai-da-nang-2036180?src=topdev_search&medium=searchresult
2025-05-14,[DI8] MANUAL TESTER (QA/QC) - MSB DF - 3I096,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),Thương lượng,Quận Đống Đa:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/di8-manual-tester-qa-qc-msb-df-3i096-ngan-hang-tmcp-hang-hai-viet-nam-msb-2036190?src=topdev_search&medium=searchresult
2025-05-14,Senior Frontend Developer - Chuyên viên cao cấp phát triển hệ thống web,OPES,20.000.000 VND to 30.000.000 VND,Quận Ba Đình:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/senior-frontend-developer-chuyen-vien-cao-cap-phat-trien-he-thong-web-opes-2036191?src=topdev_search&medium=searchresult
2025-05-14,DBA,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 3 tuần tới,https://topdev.vn/viec-lam/dba-cong-ty-tnhh-samsung-sds-viet-nam-2036332?src=topdev_search&medium=searchresult
2025-05-14,Nhân Viên Kinh Doanh B2B - AI Giáo Dục Ngoại Ngữ (có thể giao tiếp tiếng Hàn),CÔNG TY TNHH WEAVERS VIETNAM,18.000.000 VND to 20.000.000 VND,Quận Nam Từ Liêm:  Hà Nội,và Công việc hết hạn trong 3 tuần tới,https://topdev.vn/viec-lam/nhan-vien-kinh-doanh-b2b-ai-giao-duc-ngoai-ngu-co-the-giao-tiep-tieng-han-cong-ty-tnhh-weavers-vietnam-2036330?src=topdev_search&medium=searchresult
2025-05-14,Project Manager (Playable Ads Team),52 Entertainment,Thương lượng,Quận 1:  Hồ Chí Minh,và Công việc hết hạn trong 3 tuần tới,https://topdev.vn/viec-lam/project-manager-playable-ads-team-52-entertainment-2036305?src=topdev_search&medium=searchresult
2025-05-14,Senior Unity Developer (Playable Ads),52 Entertainment,Thương lượng,Quận 1:  Hồ Chí Minh,và Công việc hết hạn trong 3 tuần tới,https://topdev.vn/viec-lam/senior-unity-developer-playable-ads-52-entertainment-2036304?src=topdev_search&medium=searchresult
2025-05-14,Junior Unity Developer (Playable Ads),52 Entertainment,Thương lượng,Quận 1:  Hồ Chí Minh,và Công việc hết hạn trong 3 tuần tới,https://topdev.vn/viec-lam/junior-unity-developer-playable-ads-52-entertainment-2036303?src=topdev_search&medium=searchresult
2025-05-14,"(Middle, Senior level) Kỹ Sư Phát Triển BackEnd - Java Backend Developer - Khối Công nghệ thông tin (HOLT.11)",MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/middle-senior-level-ky-su-phat-trien-backend-java-backend-developer-khoi-cong-nghe-thong-tin-holt-11-mbbank-2036171?src=topdev_search&medium=searchresult
2025-05-14,"(Middle, Senior level) Kỹ Sư Phát Triển FullStack - Java FullStack Developer - Khối Công nghệ thông tin (HOLT.12)",MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/middle-senior-level-ky-su-phat-trien-fullstack-java-fullstack-developer-khoi-cong-nghe-thong-tin-holt-12-mbbank-2036170?src=topdev_search&medium=searchresult
2025-05-14,Kỹ sư Phát triển Fullstack - Khối Công nghệ thông tin (HOLT.04),MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/ky-su-phat-trien-fullstack-khoi-cong-nghe-thong-tin-holt-04-mbbank-2036173?src=topdev_search&medium=searchresult
2025-05-14,"MB Trainee - BackEnd Engineer (Sinh viên, Fresher) - Khối Công nghệ thông tin (HOLT.09)",MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/mb-trainee-backend-engineer-sinh-vien-fresher-khoi-cong-nghe-thong-tin-holt-09-mbbank-2036172?src=topdev_search&medium=searchresult
2025-05-14,"Kỹ Sư Phát Triển BackEnd - Java Backend Developer (Middle, Junior level) - Khối Công nghệ thông tin (HOLT.03)",MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/ky-su-phat-trien-backend-java-backend-developer-middle-junior-level-khoi-cong-nghe-thong-tin-holt-03-mbbank-2036174?src=topdev_search&medium=searchresult
2025-05-14,Business Analyst,"ADVN Computer CO., LTD",Thương lượng,Quận 5:  Hồ Chí Minh,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/business-analyst-advn-computer-co-ltd-2036176?src=topdev_search&medium=searchresult
2025-05-14,Kỹ Sư Phát Triển Phần Mềm (C/ Tiếng Nhật N3),AZAPA ENGINEERING,Lên tới 50.000.000 VND,Oversea,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/ky-su-phat-trien-phan-mem-c-tieng-nhat-n3-azapa-engineering-2036202?src=topdev_search&medium=searchresult
2025-05-14,Cloud Data Engineer - Khối Dữ liệu (HO25.205),MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 3 tuần tới,https://topdev.vn/viec-lam/cloud-data-engineer-khoi-du-lieu-ho25-205-mbbank-2036292?src=topdev_search&medium=searchresult
2025-05-14,DevSecOps Engineer - Khối Công nghệ thông tin (HO25.203),MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 3 tuần tới,https://topdev.vn/viec-lam/devsecops-engineer-khoi-cong-nghe-thong-tin-ho25-203-mbbank-2036294?src=topdev_search&medium=searchresult
2025-05-14,GIÁM ĐỐC CÔNG NGHỆ (CTO),CÔNG TY TNHH BPO INFINITY INNOVATIONS GROUP,Thương lượng,Thành phố Thủ Đức:  Hồ Chí Minh,và Công việc hết hạn trong 3 tuần tới,https://topdev.vn/viec-lam/giam-doc-cong-nghe-cto-cong-ty-tnhh-bpo-infinity-innovations-group-2036302?src=topdev_search&medium=searchresult
2025-05-14,QA APP TESTER [Upto 35M],CÔNG TY TNHH SOCOTEC VIỆT NAM,22.000.000 VND to 35.000.000 VND,Quận Ba Đình:  Hà Nội,và Công việc hết hạn trong 2 tuần tới,https://topdev.vn/viec-lam/qa-app-tester-upto-35m-cong-ty-tnhh-socotec-viet-nam-2036178?src=topdev_search&medium=searchresult
2025-05-14,Senior Back-End Developer,PRIME TECH SOLUTION COMPANY LIMITED,1.600 USD to 2.400 USD,Quận Gò Vấp:  Hồ Chí Minh,và Công việc hết hạn trong 16 giờ trước,https://topdev.vn/viec-lam/senior-back-end-developer-prime-tech-solution-company-limited-2035919?src=topdev_search&medium=searchresult
2025-05-14,Senior Fullstack Developer,PRIME TECH SOLUTION COMPANY LIMITED,Lên tới 4.000 USD,Quận Gò Vấp:  Hồ Chí Minh,và Công việc hết hạn trong 16 giờ trước,https://topdev.vn/viec-lam/senior-fullstack-developer-prime-tech-solution-company-limited-2035920?src=topdev_search&medium=searchresult
2025-05-14,Senior Business Analyst,PRIME TECH SOLUTION COMPANY LIMITED,Lên tới 1.600 USD,Quận Gò Vấp:  Hồ Chí Minh,và Công việc hết hạn trong 16 giờ trước,https://topdev.vn/viec-lam/senior-business-analyst-prime-tech-solution-company-limited-2035921?src=topdev_search&medium=searchresult
2025-05-14,"Test Engineer (English, Linux)","Motorola Solutions, VietNam R&D Center",Thương lượng,Thành phố Thủ Đức:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/test-engineer-english-linux-motorola-solutions-vietnam-r-d-center-2035955?src=topdev_search&medium=searchresult
2025-05-14,Cyber Security Solution Engineer,"Motorola Solutions, VietNam R&D Center",Thương lượng,Thành phố Thủ Đức:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/cyber-security-solution-engineer-motorola-solutions-vietnam-r-d-center-2035958?src=topdev_search&medium=searchresult
2025-05-14,Blockchain Developer,SALESCORE,Thương lượng,Quận Bình Thạnh:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/blockchain-developer-salescore-2035964?src=topdev_search&medium=searchresult
2025-05-14,Front End Software Engineer II (Flutter),"Motorola Solutions, VietNam R&D Center",Thương lượng,Thành phố Thủ Đức:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/front-end-software-engineer-ii-flutter-motorola-solutions-vietnam-r-d-center-2035967?src=topdev_search&medium=searchresult
2025-05-14,[Experienced] IBM Maximo Developer,LG CNS Việt Nam,Thương lượng,Quận Nam Từ Liêm:  Hà Nội,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/experienced-ibm-maximo-developer-lg-cns-viet-nam-2035970?src=topdev_search&medium=searchresult
2025-05-14,"TeamCenter Engineer (ActiveWorkspace, BMIDE, React)",LG CNS Việt Nam,Thương lượng,Quận Nam Từ Liêm:  Hà Nội,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/teamcenter-engineer-activeworkspace-bmide-react-lg-cns-viet-nam-2035971?src=topdev_search&medium=searchresult
2025-05-14,Mobile App Developer,CATHAY UNITED BANK - HO CHI MINH CITY BRANCH,Thương lượng,Quận 1:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/mobile-app-developer-cathay-united-bank-ho-chi-minh-city-branch-2035978?src=topdev_search&medium=searchresult
2025-05-14,[Junior/Middle] Manual QA/QC (Korean Speaking),SALESCORE,Thương lượng,Quận Bình Thạnh:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/junior-middle-manual-qa-qc-korean-speaking-salescore-2035981?src=topdev_search&medium=searchresult
2025-05-14,System Admin - Chuyên Viên Quản Trị Hệ Thống,CÔNG TY CỔ PHẦN MẮT BÃO,20.000.000 VND to 30.000.000 VND,Quận Tân Bình:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/system-admin-chuyen-vien-quan-tri-he-thong-cong-ty-co-phan-mat-bao-2035986?src=topdev_search&medium=searchresult
2025-05-14,"Chuyên viên Quản trị Mạng kết nối (Middle, Senior level) - Network Administrator - Khối Công nghệ thông tin (HO25.149)",MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/chuyen-vien-quan-tri-mang-ket-noi-middle-senior-level-network-administrator-khoi-cong-nghe-thong-tin-ho25-149-mbbank-2035988?src=topdev_search&medium=searchresult
2025-05-14,JAVA Backend Developer,CATHAY UNITED BANK - HO CHI MINH CITY BRANCH,Thương lượng,Quận 1:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/java-backend-developer-cathay-united-bank-ho-chi-minh-city-branch-2035979?src=topdev_search&medium=searchresult
2025-05-14,"Full-stack Developer (Laravel, VueJS)",TIMIND,20.000.000 VND to 30.000.000 VND,Quận Thanh Xuân:  Hà Nội,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/full-stack-developer-laravel-vuejs-timind-2035974?src=topdev_search&medium=searchresult
2025-05-14,"Kỹ sư phát triển giải pháp Oracle - Oracle Database Developer (PL/SQL, ETL, OFSAA) - Khối Công nghệ thông tin (HO25.148)",MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/ky-su-phat-trien-giai-phap-oracle-oracle-database-developer-pl-sql-etl-ofsaa-khoi-cong-nghe-thong-tin-ho25-148-mbbank-2035989?src=topdev_search&medium=searchresult
2025-05-14,Chuyên viên Cao cấp Kiểm thử nghiệp vụ - Senior Manual Tester - Khối Công nghệ thông tin (HO25.150),MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/chuyen-vien-cao-cap-kiem-thu-nghiep-vu-senior-manual-tester-khoi-cong-nghe-thong-tin-ho25-150-mbbank-2035996?src=topdev_search&medium=searchresult
2025-05-14,MB Trainee - Hỗ trợ Quản lý Rủi ro và Tuân thủ - Risk and Compliance Management Support Associate (MB Trainee) - Khối Công nghệ thông tin (HO25.128),MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/mb-trainee-ho-tro-quan-ly-rui-ro-va-tuan-thu-risk-and-compliance-management-support-associate-mb-trainee-khoi-cong-nghe-thong-tin-ho25-128-mbbank-2035997?src=topdev_search&medium=searchresult
2025-05-14,MB Trainee mảng Quản lý đầu tư - Khối Công nghệ thông tin (HO25.134),MBBANK,Thương lượng,Quận Cầu Giấy:  Hà Nội,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/mb-trainee-mang-quan-ly-dau-tu-khoi-cong-nghe-thong-tin-ho25-134-mbbank-2035998?src=topdev_search&medium=searchresult
2025-05-14,"Backend Dev (PHP, Laravel) up to 2000$",VITZ VIET NAM,Lên tới 2.000 USD,Quận Liên Chiểu:  Đà Nẵng,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/backend-dev-php-laravel-up-to-2000-vitz-viet-nam-2036000?src=topdev_search&medium=searchresult
2025-05-14,QA Engineer (Manual Tester),CÔNG TY TNHH KAMEREO,Thương lượng,Quận Bình Thạnh:  Hồ Chí Minh,và Công việc hết hạn trong 6 ngày tới,https://topdev.vn/viec-lam/qa-engineer-manual-tester-cong-ty-tnhh-kamereo-2036005?src=topdev_search&medium=searchresult
2025-05-14,Middle/Senior Backend Engineer (Java/ MySQL/ Spring),DaouKiwoom Innovation,20.000.000 VND to 40.000.000 VND,Quận Bình Thạnh:  Hồ Chí Minh,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/middle-senior-backend-engineer-java-mysql-spring-daoukiwoom-innovation-2036006?src=topdev_search&medium=searchresult
2025-05-14,Java Developer,ARCH Việt Nam,Thương lượng,Quận Hải Châu:  Đà Nẵng,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/java-developer-arch-viet-nam-2036035?src=topdev_search&medium=searchresult
2025-05-14,Senior Java Developer (Spring Boot),DaouKiwoom Innovation,2.000 USD to 3.000 USD,Quận Bình Thạnh:  Hồ Chí Minh,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/senior-java-developer-spring-boot-daoukiwoom-innovation-2036081?src=topdev_search&medium=searchresult
2025-05-14,"Thực tập sinh Lập trình (Javascript, Next.js/Node.js, Tester, Mobile, Low-code)",DTS Software Viet Nam,Thương lượng,Quận Ba Đình:  Hà Nội,và Công việc hết hạn trong 1 tuần tới,https://topdev.vn/viec-lam/thuc-tap-sinh-lap-trinh-javascript-next-js-node-js-tester-mobile-low-code-dts-software-viet-nam-2036082?src=topdev_search&medium=searchresult
